date,suspect,num_bad_aircraft_hexes,source
2022-12-24,false,215,adsbexchange
2022-12-25,true,185,adsbexchange
2022-12-26,false,161,adsbexchange
2022-12-27,false,144,adsbexchange
2022-12-28,false,141,adsbexchange
2022-12-29,false,195,adsbexchange
2022-12-30,false,145,adsbexchange
2022-12-31,false,117,adsbexchange
2023-01-01,false,131,adsbexchange
2023-01-02,false,146,adsbexchange
2023-01-03,false,154,adsbexchange
2023-01-04,false,172,adsbexchange
2023-01-05,false,202,adsbexchange
2023-01-06,false,205,adsbexchange
2023-01-07,false,175,adsbexchange
2023-01-08,false,193,adsbexchange
2023-01-09,false,201,adsbexchange
2023-01-10,false,179,adsbexchange
2023-01-11,false,189,adsbexchange
2023-01-12,false,142,adsbexchange
2023-01-13,false,164,adsbexchange
2023-01-14,false,170,adsbexchange
2023-01-15,false,156,adsbexchange
2023-01-16,false,157,adsbexchange
2023-01-17,false,157,adsbexchange
2023-01-18,false,149,adsbexchange
2023-01-19,false,185,adsbexchange
2023-01-20,false,172,adsbexchange
2023-01-21,false,185,adsbexchange
2023-01-22,false,202,adsbexchange
2023-01-23,false,160,adsbexchange
2023-01-24,false,169,adsbexchange
2023-01-25,false,175,adsbexchange
2023-01-26,false,157,adsbexchange
2023-01-27,false,148,adsbexchange
2023-01-28,false,155,adsbexchange
2023-01-29,false,137,adsbexchange
2023-01-30,false,136,adsbexchange
2023-01-31,false,120,adsbexchange
2023-02-01,false,119,adsbexchange
2023-02-02,false,170,adsbexchange
2023-02-03,false,130,adsbexchange
2023-02-04,false,128,adsbexchange
2023-02-05,false,145,adsbexchange
2023-02-06,false,115,adsbexchange
2023-02-07,false,110,adsbexchange
2023-02-08,false,120,adsbexchange
2023-02-09,false,128,adsbexchange
2023-02-10,false,128,adsbexchange
2023-02-11,false,115,adsbexchange
2023-02-12,false,132,adsbexchange
2023-02-13,false,127,adsbexchange
2023-02-14,false,125,adsbexchange
2023-02-15,false,127,adsbexchange
2023-02-16,false,148,adsbexchange
2023-02-17,false,138,adsbexchange
2023-02-18,false,157,adsbexchange
2023-02-19,false,169,adsbexchange
2023-02-20,false,149,adsbexchange
2023-02-21,false,134,adsbexchange
2023-02-22,false,186,adsbexchange
2023-02-23,false,204,adsbexchange
2023-02-24,false,163,adsbexchange
2023-02-25,false,111,adsbexchange
2023-02-26,false,151,adsbexchange
2023-02-27,false,162,adsbexchange
2023-02-28,false,157,adsbexchange
2023-03-01,false,158,adsbexchange
2023-03-02,false,167,adsbexchange
