FID,ogc_fid,site_id,site_name,alamat,desa,kec,lat,long,jen_men,tinggi,jen_kons,metadata,srs_id,remark,namobj,fcode,objectid,geometry
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.25,25,MPW144,TPI JERUJU EX LANCAK BADAU / TPI JERUJU (PTK076),Jl. Pramuka RT.28/Rw.10 Kel. Sungai Rengas Kec. Sungai Kakap Kab.  Kubu Raya,Sungai Rengas,Sungai Kakap,-0.005306,109.270222,Green Field,42,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.27022222222222 -0.0053055555555556)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.53,53,16MPW017,kubu_ptk,Jl Suprapto RT.03 RW.08 Dusun Karya Bersama,Kubu,Kubu,-0.490204,109.380673,green field,70,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. INDOSAT,HC01050180,,POINT (109.38067252 -0.49020432)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.26,26,MPW011,PONTIANAK_AIRPORT,"Komp. Pemancar Angkasa Pura, Jl. Adisucipto, Kec. Pontianak Selatan Kab. Kubu Raya",Arang Limbung,Sungai Raya,-0.141111,109.410361,Green Field,40,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.41036111111111 -0.1411111111111111)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.27,27,MPW063,TANJUNG RAYA II / DENZIBANG II / DESA KAPUR,Jl. Tanjung Raya II RT. 01 RW. 03 Kel. Ds Kapur Kec. Mempawah Hilir Kab. Kubu Raya,Kapur,Sungai Raya,-0.070222,109.390333,Green Field,72,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.39033333333334 -0.0702222222222222)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.28,28,MPW054,DS MEKAR SARI EX KUALA DUA-CAP EX BALAI BERKUAK,"Jl. Kuala Dua - Sungai Asam, RT1/1, Ds Mekar Sari, Kec. Sei Raya, Kab. Kubu Raya",Mekar Sari,Sungai Raya,-0.21525,109.468,Green Field,72,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.468 -0.21525)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.29,29,MPW062,MASTURA BATU AMPAR,Jl pendidikan Ds Teluk Mastura RT 17 RW 003 Kec. Batu Ampar  Kab. Kubu Raya / Pontianak,Teluk Mastura,Batu Ampar,-0.751611,109.542361,Green Field,72,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.5423611111111 -0.7516111111111111)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.30,30,MPW059,BINA KARYA,"Jl. Sultan Agung, Dusun 6 Binakarya, Desa Rasau Jaya 1, Kec. Rasau Jaya Kab. Kubu Raya",Rasau Jaya 1,Rasau Jaya,-0.225194,109.387917,Green Field,72,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.38791666666667 -0.2251944444444444)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.31,31,MPW010,STO_SUNGAI_RAYA / SUNGAI RAYA,"Komp. Pondok Indah Lestari, Jl. A.Yani 2, Kec. Pontianak Timur Kab. Kubu Raya",Sungai Raya,Sungai Raya,-0.08625,109.3755,Green Field,42,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.37549999999999 -0.08625)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.32,32,MPW072,PENEMPAT EX TAYAN ROAD,"Jl. Trans Kalimantan Dsn. Lintang Batang Rt 06 Rw 03 Ds. Teluk Bakung Kec. Sei Ambawang Kab. Kubu Raya KalBar
",Teluk Bakung,Sungai Ambawang,-0.014167,109.695278,Green Field,72,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.69527777777778 -0.0141666666666667)
menaratelepon_ar_50k_10f62879eecb175b3f432c439e656c64.33,33,MPW075,BINTANG MAS,"Jl. Sentosa TR 7 Dsn Mulyo Rejo, Mempawah, Kec. Rasau Jaya Kab. Kubu Raya",Bintang Mas 2,Rasau Jaya,-0.266944,109.281944,Green Field,72,4 KAKI,MENARATOWER5000020220623KUBURAYA,4326,,PT. TELKOMSEL,HC01050180,,POINT (109.28194444444445 -0.2669444444444444)
